2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO OS [uname_result(system='Linux', node='54b9e5afceb2', release='5.3.0-26-generic', version='#28-Ubuntu SMP Wed Dec 18 05:37:46 UTC 2019', machine='x86_64', processor='')]
2020-01-24 11:12:23,464 -not-actor-/PID:1 esrally.rally INFO Python [namespace(_multiarch='x86_64-linux-gnu', cache_tag='cpython-37', hexversion=50791408, name='cpython', version=sys.version_info(major=3, minor=7, micro=3, releaselevel='final', serial=0))]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.rally INFO Rally version [1.4.0]
2020-01-24 11:12:23,465 -not-actor-/PID:1 esrally.utils.net INFO Connecting directly to the Internet (no proxy support).
2020-01-24 11:12:23,919 -not-actor-/PID:1 esrally.rally INFO Detected a working Internet connection.
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.rally INFO Actor system already running locally? [False]
2020-01-24 11:12:23,921 -not-actor-/PID:1 esrally.actor INFO Starting actor system with system base [multiprocTCPBase] and capabilities [{'coordinator': True, 'ip': '127.0.0.1', 'Convention Address.IPv4': '127.0.0.1:1900'}].
2020-01-24 11:12:23,964 -not-actor-/PID:10 root INFO ++++ Actor System gen (3, 9) started, admin @ ActorAddr-(T|:1900)
2020-01-27 08:55:02,790 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO All drivers completed their tasks until join point [6/15].
2020-01-27 08:55:02,791 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [1453.833486] (master timestamp [1453.836362])
2020-01-27 08:55:02,791 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [1453.826387] (master timestamp [1453.836362])
2020-01-27 08:55:02,792 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [2] at their timestamp [1453.830638] (master timestamp [1453.836362])
2020-01-27 08:55:02,793 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [3] at their timestamp [1453.826010] (master timestamp [1453.836362])
2020-01-27 08:55:02,794 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [4] at their timestamp [1453.828244] (master timestamp [1453.836362])
2020-01-27 08:55:02,795 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [5] at their timestamp [1453.830580] (master timestamp [1453.836362])
2020-01-27 08:55:02,795 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [6] at their timestamp [1453.828975] (master timestamp [1453.836362])
2020-01-27 08:55:02,795 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [7] at their timestamp [1453.824812] (master timestamp [1453.836362])
2020-01-27 08:55:03,781 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] starts driving now.
2020-01-27 08:55:03,783 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] starts driving now.
2020-01-27 08:55:03,782 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] starts driving now.
2020-01-27 08:55:03,787 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] starts driving now.
2020-01-27 08:55:03,784 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] starts driving now.
2020-01-27 08:55:03,786 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] starts driving now.
2020-01-27 08:55:03,785 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] starts driving now.
2020-01-27 08:55:03,786 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [1/8] drivers reached join point [7/15].
2020-01-27 08:55:03,782 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,783 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,783 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,788 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] starts driving now.
2020-01-27 08:55:03,787 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,785 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,787 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,786 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] reached join point [JoinPoint(7)].
2020-01-27 08:55:03,786 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [2/8] drivers reached join point [7/15].
2020-01-27 08:55:03,789 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is executing [refresh-after-force-merge].
2020-01-27 08:55:03,787 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [3/8] drivers reached join point [7/15].
2020-01-27 08:55:03,789 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Choosing [deterministic scheduler] for [refresh-after-force-merge].
2020-01-27 08:55:03,787 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [4/8] drivers reached join point [7/15].
2020-01-27 08:55:03,789 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [refresh-after-force-merge] with [0] warmup iterations and [1] iterations.
2020-01-27 08:55:03,788 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [5/8] drivers reached join point [7/15].
2020-01-27 08:55:03,790 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule will determine when the schedule for [refresh-after-force-merge] terminates.
2020-01-27 08:55:03,789 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [6/8] drivers reached join point [7/15].
2020-01-27 08:55:03,790 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [7/8] drivers reached join point [7/15].
2020-01-27 08:55:03,795 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule for [refresh-after-force-merge] stopped regularly.
2020-01-27 08:55:08,795 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is ready for the next task.
2020-01-27 08:55:08,795 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(7)].
2020-01-27 08:55:08,799 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [8/8] drivers reached join point [7/15].
2020-01-27 08:55:08,803 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Task has finished.
2020-01-27 08:55:08,804 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is continuing its work at task index [15] on [1459.844419], that is in [0:00:00.995103].
2020-01-27 08:55:08,804 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] is continuing its work at task index [15] on [1459.845543], that is in [0:00:00.995863].
2020-01-27 08:55:08,804 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Bulk adding request metrics to metrics store.
2020-01-27 08:55:08,805 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] is continuing its work at task index [15] on [1459.845598], that is in [0:00:00.994913].
2020-01-27 08:55:08,807 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] is continuing its work at task index [15] on [1459.844875], that is in [0:00:00.992763].
2020-01-27 08:55:08,807 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] is continuing its work at task index [15] on [1459.845854], that is in [0:00:00.993301].
2020-01-27 08:55:08,807 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] is continuing its work at task index [15] on [1459.845076], that is in [0:00:00.992072].
2020-01-27 08:55:08,808 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] is continuing its work at task index [15] on [1459.845440], that is in [0:00:00.992047].
2020-01-27 08:55:08,808 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] is continuing its work at task index [15] on [1459.843325], that is in [0:00:00.989389].
2020-01-27 08:55:08,800 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO All drivers completed their tasks until join point [7/15].
2020-01-27 08:55:08,802 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [1459.844419] (master timestamp [1459.847750])
2020-01-27 08:55:08,803 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [1459.845543] (master timestamp [1459.847750])
2020-01-27 08:55:08,804 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [2] at their timestamp [1459.845598] (master timestamp [1459.847750])
2020-01-27 08:55:08,806 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [3] at their timestamp [1459.844875] (master timestamp [1459.847750])
2020-01-27 08:55:08,806 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [4] at their timestamp [1459.845854] (master timestamp [1459.847750])
2020-01-27 08:55:08,807 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [5] at their timestamp [1459.845076] (master timestamp [1459.847750])
2020-01-27 08:55:08,807 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [6] at their timestamp [1459.845440] (master timestamp [1459.847750])
2020-01-27 08:55:08,808 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [7] at their timestamp [1459.843325] (master timestamp [1459.847750])
2020-01-27 08:55:09,800 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] starts driving now.
2020-01-27 08:55:09,801 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] starts driving now.
2020-01-27 08:55:09,802 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] starts driving now.
2020-01-27 08:55:09,803 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] starts driving now.
2020-01-27 08:55:09,801 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] starts driving now.
2020-01-27 08:55:09,804 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] starts driving now.
2020-01-27 08:55:09,801 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] starts driving now.
2020-01-27 08:55:09,804 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] starts driving now.
2020-01-27 08:55:09,800 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,808 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [1/8] drivers reached join point [8/15].
2020-01-27 08:55:09,805 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is executing [percolator_with_content_president_bush].
2020-01-27 08:55:09,802 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,804 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,802 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,804 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,802 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,805 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] reached join point [JoinPoint(8)].
2020-01-27 08:55:09,808 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [2/8] drivers reached join point [8/15].
2020-01-27 08:55:09,805 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Choosing [deterministic scheduler] for [percolator_with_content_president_bush].
2020-01-27 08:55:09,808 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [3/8] drivers reached join point [8/15].
2020-01-27 08:55:09,805 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [percolator_with_content_president_bush] with [100] warmup iterations and [100] iterations.
2020-01-27 08:55:09,808 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [4/8] drivers reached join point [8/15].
2020-01-27 08:55:09,806 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule will determine when the schedule for [percolator_with_content_president_bush] terminates.
2020-01-27 08:55:09,809 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [5/8] drivers reached join point [8/15].
2020-01-27 08:55:09,809 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [6/8] drivers reached join point [8/15].
2020-01-27 08:55:09,809 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [7/8] drivers reached join point [8/15].
2020-01-27 08:55:18,24 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule for [percolator_with_content_president_bush] stopped regularly.
2020-01-27 08:55:19,815 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is ready for the next task.
2020-01-27 08:55:19,816 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(8)].
2020-01-27 08:55:19,818 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [8/8] drivers reached join point [8/15].
2020-01-27 08:55:19,824 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Task has finished.
2020-01-27 08:55:19,825 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is continuing its work at task index [17] on [1470.867734], that is in [0:00:00.997577].
2020-01-27 08:55:19,825 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] is continuing its work at task index [17] on [1470.864633], that is in [0:00:00.994093].
2020-01-27 08:55:19,826 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] is continuing its work at task index [17] on [1470.865831], that is in [0:00:00.993970].
2020-01-27 08:55:19,827 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] is continuing its work at task index [17] on [1470.863355], that is in [0:00:00.991054].
2020-01-27 08:55:19,827 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] is continuing its work at task index [17] on [1470.865574], that is in [0:00:00.992910].
2020-01-27 08:55:19,824 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Bulk adding request metrics to metrics store.
2020-01-27 08:55:19,829 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] is continuing its work at task index [17] on [1470.862824], that is in [0:00:00.988717].
2020-01-27 08:55:19,829 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] is continuing its work at task index [17] on [1470.865241], that is in [0:00:00.990654].
2020-01-27 08:55:19,829 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] is continuing its work at task index [17] on [1470.861291], that is in [0:00:00.986266].
2020-01-27 08:55:19,818 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO All drivers completed their tasks until join point [8/15].
2020-01-27 08:55:19,824 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [1470.867734] (master timestamp [1470.869371])
2020-01-27 08:55:19,824 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [1470.864633] (master timestamp [1470.869371])
2020-01-27 08:55:19,825 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [2] at their timestamp [1470.865831] (master timestamp [1470.869371])
2020-01-27 08:55:19,826 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [3] at their timestamp [1470.863355] (master timestamp [1470.869371])
2020-01-27 08:55:19,826 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [4] at their timestamp [1470.865574] (master timestamp [1470.869371])
2020-01-27 08:55:19,828 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [5] at their timestamp [1470.862824] (master timestamp [1470.869371])
2020-01-27 08:55:19,828 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [6] at their timestamp [1470.865241] (master timestamp [1470.869371])
2020-01-27 08:55:19,829 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [7] at their timestamp [1470.861291] (master timestamp [1470.869371])
2020-01-27 08:55:20,817 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] starts driving now.
2020-01-27 08:55:20,820 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] starts driving now.
2020-01-27 08:55:20,819 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] starts driving now.
2020-01-27 08:55:20,820 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [1/8] drivers reached join point [9/15].
2020-01-27 08:55:20,818 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,821 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,820 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,822 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [2/8] drivers reached join point [9/15].
2020-01-27 08:55:20,823 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] starts driving now.
2020-01-27 08:55:20,823 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] starts driving now.
2020-01-27 08:55:20,824 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] starts driving now.
2020-01-27 08:55:20,824 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] starts driving now.
2020-01-27 08:55:20,824 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] starts driving now.
2020-01-27 08:55:20,823 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,823 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,824 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is executing [percolator_with_content_saddam_hussein].
2020-01-27 08:55:20,823 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [3/8] drivers reached join point [9/15].
2020-01-27 08:55:20,824 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,824 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] reached join point [JoinPoint(9)].
2020-01-27 08:55:20,824 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Choosing [deterministic scheduler] for [percolator_with_content_saddam_hussein].
2020-01-27 08:55:20,825 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [4/8] drivers reached join point [9/15].
2020-01-27 08:55:20,829 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [5/8] drivers reached join point [9/15].
2020-01-27 08:55:20,829 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [6/8] drivers reached join point [9/15].
2020-01-27 08:55:20,829 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [7/8] drivers reached join point [9/15].
2020-01-27 08:55:20,824 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [percolator_with_content_saddam_hussein] with [100] warmup iterations and [100] iterations.
2020-01-27 08:55:20,825 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule will determine when the schedule for [percolator_with_content_saddam_hussein] terminates.
2020-01-27 08:55:25,909 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule for [percolator_with_content_saddam_hussein] stopped regularly.
2020-01-27 08:55:30,838 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is ready for the next task.
2020-01-27 08:55:30,839 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] reached join point [JoinPoint(9)].
2020-01-27 08:55:30,843 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [8/8] drivers reached join point [9/15].
2020-01-27 08:55:30,870 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Task has finished.
2020-01-27 08:55:30,877 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] is continuing its work at task index [19] on [1481.912814], that is in [0:00:00.990777].
2020-01-27 08:55:30,875 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] is continuing its work at task index [19] on [1481.912478], that is in [0:00:00.991633].
2020-01-27 08:55:30,873 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] is continuing its work at task index [19] on [1481.909084], that is in [0:00:00.990697].
2020-01-27 08:55:30,872 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is continuing its work at task index [19] on [1481.911512], that is in [0:00:00.994332].
2020-01-27 08:55:30,877 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] is continuing its work at task index [19] on [1481.909841], that is in [0:00:00.986913].
2020-01-27 08:55:30,879 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] is continuing its work at task index [19] on [1481.912982], that is in [0:00:00.988295].
2020-01-27 08:55:30,880 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] is continuing its work at task index [19] on [1481.909522], that is in [0:00:00.984045].
2020-01-27 08:55:30,871 ActorAddr-(T|:35383)/PID:12 esrally.actor INFO Bulk adding request metrics to metrics store.
2020-01-27 08:55:30,881 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] is continuing its work at task index [19] on [1481.912750], that is in [0:00:00.986441].
2020-01-27 08:55:30,843 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO All drivers completed their tasks until join point [9/15].
2020-01-27 08:55:30,869 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [0] at their timestamp [1481.911512] (master timestamp [1481.914759])
2020-01-27 08:55:30,871 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [1] at their timestamp [1481.909084] (master timestamp [1481.914759])
2020-01-27 08:55:30,873 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [2] at their timestamp [1481.912478] (master timestamp [1481.914759])
2020-01-27 08:55:30,875 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [3] at their timestamp [1481.912814] (master timestamp [1481.914759])
2020-01-27 08:55:30,876 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [4] at their timestamp [1481.909841] (master timestamp [1481.914759])
2020-01-27 08:55:30,878 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [5] at their timestamp [1481.912982] (master timestamp [1481.914759])
2020-01-27 08:55:30,879 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [6] at their timestamp [1481.909522] (master timestamp [1481.914759])
2020-01-27 08:55:30,879 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO Scheduling next task for client id [7] at their timestamp [1481.912750] (master timestamp [1481.914759])
2020-01-27 08:55:31,865 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] starts driving now.
2020-01-27 08:55:31,866 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] starts driving now.
2020-01-27 08:55:31,866 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] starts driving now.
2020-01-27 08:55:31,871 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] starts driving now.
2020-01-27 08:55:31,869 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] starts driving now.
2020-01-27 08:55:31,868 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] starts driving now.
2020-01-27 08:55:31,869 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] starts driving now.
2020-01-27 08:55:31,869 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] starts driving now.
2020-01-27 08:55:31,871 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [1/8] drivers reached join point [10/15].
2020-01-27 08:55:31,866 ActorAddr-(T|:44851)/PID:77 esrally.actor INFO LoadGenerator[1] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,867 ActorAddr-(T|:37005)/PID:80 esrally.actor INFO LoadGenerator[4] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,867 ActorAddr-(T|:43835)/PID:82 esrally.actor INFO LoadGenerator[6] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,871 ActorAddr-(T|:44455)/PID:79 esrally.actor INFO LoadGenerator[3] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,869 ActorAddr-(T|:38961)/PID:78 esrally.actor INFO LoadGenerator[2] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,871 ActorAddr-(T|:33485)/PID:76 esrally.actor INFO LoadGenerator[0] is executing [percolator_with_content_hurricane_katrina].
2020-01-27 08:55:31,869 ActorAddr-(T|:41885)/PID:81 esrally.actor INFO LoadGenerator[5] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,870 ActorAddr-(T|:42551)/PID:83 esrally.actor INFO LoadGenerator[7] reached join point [JoinPoint(10)].
2020-01-27 08:55:31,871 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [2/8] drivers reached join point [10/15].
2020-01-27 08:55:31,871 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Choosing [deterministic scheduler] for [percolator_with_content_hurricane_katrina].
2020-01-27 08:55:31,871 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [3/8] drivers reached join point [10/15].
2020-01-27 08:55:31,871 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO Creating iteration-count based schedule with [deterministic] distribution for [percolator_with_content_hurricane_katrina] with [100] warmup iterations and [100] iterations.
2020-01-27 08:55:31,873 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [4/8] drivers reached join point [10/15].
2020-01-27 08:55:31,871 ActorAddr-(T|:33485)/PID:76 esrally.driver.driver INFO iteration-count-based schedule will determine when the schedule for [percolator_with_content_hurricane_katrina] terminates.
2020-01-27 08:55:31,873 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [5/8] drivers reached join point [10/15].
2020-01-27 08:55:31,873 ActorAddr-(T|:33473)/PID:74 esrally.driver.driver INFO [6/8] drivers reached join point [10/15].
